image_path,card_name,card_number,card_set
dataset/HS—Triumphant/HS—Triumphant_Kricketune_24.jpg,Kricketune,24,HS—Triumphant
dataset/Phantom Forces/Phantom Forces_Alomomola_22.jpg,Alomomola,22,Phantom Forces
dataset/Gym Heroes/Gym Heroes_Brock's Sandslash_23.jpg,Brock's Sandslash,23,Gym Heroes
dataset/Dark Explorers/Dark Explorers_Heatmor_19.jpg,Heatmor,19,Dark Explorers
dataset/Unbroken Bonds/Unbroken Bonds_Tangrowth_17.jpg,Tangrowth,17,Unbroken Bonds
dataset/Arceus/Arceus_Omastar_23.jpg,Omastar,23,Arceus
dataset/BREAKpoint/BREAKpoint_Emboar-EX_14.jpg,Emboar-EX,14,BREAKpoint
dataset/FireRed & LeafGreen/FireRed & LeafGreen_Tauros_16.jpg,Tauros,16,FireRed & LeafGreen
dataset/Mysterious Treasures/Mysterious Treasures_Mesprit_14.jpg,Mesprit,14,Mysterious Treasures
dataset/Rebel Clash/Rebel Clash_Trevenant_15.jpg,Trevenant,15,Rebel Clash
dataset/FireRed & LeafGreen/FireRed & LeafGreen_Arcanine_18.jpg,Arcanine,18,FireRed & LeafGreen
dataset/Deoxys/Deoxys_Sableye_23.jpg,Sableye,23,Deoxys
dataset/Noble Victories/Noble Victories_Victini_14.jpg,Victini,14,Noble Victories
dataset/Sandstorm/Sandstorm_Solrock_13.jpg,Solrock,13,Sandstorm
dataset/Team Rocket Returns/Team Rocket Returns_Delibird_21.jpg,Delibird,21,Team Rocket Returns
dataset/Neo Discovery/Neo Discovery_Wobbuffet_16.jpg,Wobbuffet,16,Neo Discovery
dataset/Aquapolis/Aquapolis_Togetic_H27.jpg,Togetic,H27,Aquapolis
dataset/HGSS Black Star Promos/HGSS Black Star Promos_Smoochum_HGSS13.jpg,Smoochum,HGSS13,HGSS Black Star Promos
dataset/Cosmic Eclipse/Cosmic Eclipse_Rapidash_24.jpg,Rapidash,24,Cosmic Eclipse
dataset/POP Series 2/POP Series 2_Celebi ex_17.jpg,Celebi ex,17,POP Series 2
dataset/Next Destinies/Next Destinies_Staryu_23.jpg,Staryu,23,Next Destinies
dataset/POP Series 8/POP Series 8_Riolu_16.jpg,Riolu,16,POP Series 8
dataset/Double Crisis/Double Crisis_Team Magma's Lairon_13.jpg,Team Magma's Lairon,13,Double Crisis
dataset/Holon Phantoms/Holon Phantoms_Latias δ_21.jpg,Latias δ,21,Holon Phantoms
dataset/Cosmic Eclipse/Cosmic Eclipse_Charizard & Braixen-GX_22.jpg,Charizard & Braixen-GX,22,Cosmic Eclipse
dataset/Phantom Forces/Phantom Forces_Jellicent_21.jpg,Jellicent,21,Phantom Forces
dataset/Team Magma vs Team Aqua/Team Magma vs Team Aqua_Team Magma's Zangoose_23.jpg,Team Magma's Zangoose,23,Team Magma vs Team Aqua
dataset/Roaring Skies/Roaring Skies_Wingull_18.jpg,Wingull,18,Roaring Skies
dataset/Hidden Legends/Hidden Legends_Walrein_15.jpg,Walrein,15,Hidden Legends
dataset/Plasma Blast/Plasma Blast_Relicanth_24.jpg,Relicanth,24,Plasma Blast
dataset/Stormfront/Stormfront_Abomasnow_12.jpg,Abomasnow,12,Stormfront
dataset/Lost Thunder/Lost Thunder_Celebi ◇_19.jpg,Celebi ◇,19,Lost Thunder
dataset/Rising Rivals/Rising Rivals_Espeon E4_18.jpg,Espeon E4,18,Rising Rivals
dataset/Burning Shadows/Burning Shadows_Charmander_18a.jpg,Charmander,18a,Burning Shadows
dataset/Platinum/Platinum_Blissey_22.jpg,Blissey,22,Platinum
dataset/Noble Victories/Noble Victories_Victini_15.jpg,Victini,15,Noble Victories
dataset/Dragon/Dragon_Vibrava_22.jpg,Vibrava,22,Dragon
dataset/XY/XY_Pansear_22.jpg,Pansear,22,XY
dataset/Crystal Guardians/Crystal Guardians_Grovyle δ_19.jpg,Grovyle δ,19,Crystal Guardians
dataset/Arceus/Arceus_Hariyama_20.jpg,Hariyama,20,Arceus
dataset/Base Set 2/Base Set 2_Electrode_25.jpg,Electrode,25,Base Set 2
dataset/Gym Heroes/Gym Heroes_Brock's Golem_20.jpg,Brock's Golem,20,Gym Heroes
dataset/Crystal Guardians/Crystal Guardians_Grumpig_20.jpg,Grumpig,20,Crystal Guardians
dataset/Darkness Ablaze/Darkness Ablaze_Steenee_15.jpg,Steenee,15,Darkness Ablaze
dataset/Base/Base_Electabuzz_20.jpg,Electabuzz,20,Base
dataset/Flashfire/Flashfire_Buizel_28.jpg,Buizel,28,Flashfire
dataset/Phantom Forces/Phantom Forces_Frillish_20.jpg,Frillish,20,Phantom Forces
dataset/Guardians Rising/Guardians Rising_Alolan Ninetales-GX_22.jpg,Alolan Ninetales-GX,22,Guardians Rising
dataset/Fates Collide/Fates Collide_White Kyurem_21.jpg,White Kyurem,21,Fates Collide
dataset/Great Encounters/Great Encounters_Houndoom_18.jpg,Houndoom,18,Great Encounters
dataset/Team Rocket/Team Rocket_Dark Charizard_21.jpg,Dark Charizard,21,Team Rocket
dataset/Delta Species/Delta Species_Mightyena δ_24.jpg,Mightyena δ,24,Delta Species
dataset/Neo Destiny/Neo Destiny_Dark Ursaring_21.jpg,Dark Ursaring,21,Neo Destiny
dataset/POP Series 2/POP Series 2_Pikachu_16.jpg,Pikachu,16,POP Series 2
dataset/Next Destinies/Next Destinies_Lapras_25.jpg,Lapras,25,Next Destinies
dataset/Gym Challenge/Gym Challenge_Giovanni's Pinsir_24.jpg,Giovanni's Pinsir,24,Gym Challenge
dataset/Unseen Forces/Unseen Forces_Cleffa_21.jpg,Cleffa,21,Unseen Forces
dataset/Darkness Ablaze/Darkness Ablaze_Wimpod_17.jpg,Wimpod,17,Darkness Ablaze
dataset/Nintendo Black Star Promos/Nintendo Black Star Promos_Latias_14.jpg,Latias,14,Nintendo Black Star Promos
dataset/Neo Revelation/Neo Revelation_Kingdra_19.jpg,Kingdra,19,Neo Revelation
dataset/Emerald/Emerald_Claydol_24.jpg,Claydol,24,Emerald
dataset/Neo Discovery/Neo Discovery_Umbreon_13.jpg,Umbreon,13,Neo Discovery
dataset/Burning Shadows/Burning Shadows_Charmeleon_19.jpg,Charmeleon,19,Burning Shadows
dataset/Skyridge/Skyridge_Magneton_H18.jpg,Magneton,H18,Skyridge
dataset/Legend Maker/Legend Maker_Solrock_25.jpg,Solrock,25,Legend Maker
dataset/Unbroken Bonds/Unbroken Bonds_Weepinbell_14.jpg,Weepinbell,14,Unbroken Bonds
dataset/Neo Destiny/Neo Destiny_Light Lanturn_23.jpg,Light Lanturn,23,Neo Destiny
dataset/Delta Species/Delta Species_Holon's Magneton_22.jpg,Holon's Magneton,22,Delta Species
dataset/Team Rocket Returns/Team Rocket Returns_Ledian_23.jpg,Ledian,23,Team Rocket Returns
dataset/Sun & Moon/Sun & Moon_Growlithe_21.jpg,Growlithe,21,Sun & Moon
dataset/Guardians Rising/Guardians Rising_Alolan Vulpix_21a.jpg,Alolan Vulpix,21a,Guardians Rising
dataset/Dark Explorers/Dark Explorers_Blaziken_17.jpg,Blaziken,17,Dark Explorers
dataset/Emerald/Emerald_Combusken_25.jpg,Combusken,25,Emerald
dataset/Shining Legends/Shining Legends_Torkoal_11.jpg,Torkoal,11,Shining Legends
dataset/Sword & Shield/Sword & Shield_Gossifleur_20.jpg,Gossifleur,20,Sword & Shield
dataset/Majestic Dawn/Majestic Dawn_Phione_12.jpg,Phione,12,Majestic Dawn
dataset/Boundaries Crossed/Boundaries Crossed_Tepig_24.jpg,Tepig,24,Boundaries Crossed
dataset/Mysterious Treasures/Mysterious Treasures_Typhlosion_16.jpg,Typhlosion,16,Mysterious Treasures
dataset/Arceus/Arceus_Manectric_22.jpg,Manectric,22,Arceus
dataset/Team Up/Team Up_Squirtle_22.jpg,Squirtle,22,Team Up
dataset/XY Black Star Promos/XY Black Star Promos_Honedge_XY12.jpg,Honedge,XY12,XY Black Star Promos
dataset/Emerald/Emerald_Camerupt_23.jpg,Camerupt,23,Emerald
dataset/Roaring Skies/Roaring Skies_Pikachu_20.jpg,Pikachu,20,Roaring Skies
dataset/Neo Genesis/Neo Genesis_Slowking_14.jpg,Slowking,14,Neo Genesis
dataset/Diamond & Pearl/Diamond & Pearl_Drifblim_24.jpg,Drifblim,24,Diamond & Pearl
dataset/Dragons Exalted/Dragons Exalted_Ho-Oh-EX_22.jpg,Ho-Oh-EX,22,Dragons Exalted
dataset/Mysterious Treasures/Mysterious Treasures_Tyranitar_17.jpg,Tyranitar,17,Mysterious Treasures
dataset/Plasma Storm/Plasma Storm_Litwick_21.jpg,Litwick,21,Plasma Storm
dataset/Holon Phantoms/Holon Phantoms_Blaziken_20.jpg,Blaziken,20,Holon Phantoms
dataset/Emerging Powers/Emerging Powers_Lilligant_14.jpg,Lilligant,14,Emerging Powers
dataset/Darkness Ablaze/Darkness Ablaze_Tsareena_16.jpg,Tsareena,16,Darkness Ablaze
dataset/Jungle/Jungle_Clefable_17.jpg,Clefable,17,Jungle
dataset/McDonald's Collection 2016/McDonald's Collection 2016_Eevee_12.jpg,Eevee,12,McDonald's Collection 2016
dataset/Base/Base_Pidgeotto_22.jpg,Pidgeotto,22,Base
dataset/Plasma Blast/Plasma Blast_Tirtouga_27.jpg,Tirtouga,27,Plasma Blast
dataset/Vivid Voltage/Vivid Voltage_Skiddo_17.jpg,Skiddo,17,Vivid Voltage
dataset/BW Black Star Promos/BW Black Star Promos_Pansage_BW14.jpg,Pansage,BW14,BW Black Star Promos
dataset/Legendary Treasures/Legendary Treasures_Pignite_26.jpg,Pignite,26,Legendary Treasures
dataset/SWSH Black Star Promos/SWSH Black Star Promos_Rillaboom V_SWSH014.jpg,Rillaboom V,SWSH014,SWSH Black Star Promos
dataset/Team Up/Team Up_Wartortle_24.jpg,Wartortle,24,Team Up
dataset/Fates Collide/Fates Collide_Barbaracle_23.jpg,Barbaracle,23,Fates Collide
dataset/Flashfire/Flashfire_Sealeo_25.jpg,Sealeo,25,Flashfire
dataset/POP Series 8/POP Series 8_Piplup_15.jpg,Piplup,15,POP Series 8
dataset/Steam Siege/Steam Siege_Volcanion-EX_26.jpg,Volcanion-EX,26,Steam Siege
dataset/Skyridge/Skyridge_Magneton_H19.jpg,Magneton,H19,Skyridge
dataset/Sword & Shield/Sword & Shield_Vulpix_22.jpg,Vulpix,22,Sword & Shield
dataset/Majestic Dawn/Majestic Dawn_Aerodactyl_15.jpg,Aerodactyl,15,Majestic Dawn
dataset/BREAKpoint/BREAKpoint_Camerupt_13.jpg,Camerupt,13,BREAKpoint
dataset/Lost Thunder/Lost Thunder_Treecko_20.jpg,Treecko,20,Lost Thunder
dataset/Roaring Skies/Roaring Skies_Pelipper_19.jpg,Pelipper,19,Roaring Skies
dataset/Legendary Treasures/Legendary Treasures_Victini-EX_24.jpg,Victini-EX,24,Legendary Treasures
dataset/Wizards Black Star Promos/Wizards Black Star Promos_Sabrina's Abra_19.jpg,Sabrina's Abra,19,Wizards Black Star Promos
dataset/POP Series 8/POP Series 8_Turtwig_17.jpg,Turtwig,17,POP Series 8
dataset/Call of Legends/Call of Legends_Feraligatr_25.jpg,Feraligatr,25,Call of Legends
dataset/Diamond & Pearl/Diamond & Pearl_Clefable_22.jpg,Clefable,22,Diamond & Pearl
dataset/Mysterious Treasures/Mysterious Treasures_Raichu_15.jpg,Raichu,15,Mysterious Treasures
dataset/Stormfront/Stormfront_Bronzong_13.jpg,Bronzong,13,Stormfront
dataset/Sandstorm/Sandstorm_Zangoose_14.jpg,Zangoose,14,Sandstorm
dataset/Forbidden Light/Forbidden Light_Braixen_16.jpg,Braixen,16,Forbidden Light
dataset/Legend Maker/Legend Maker_Pinsir_24.jpg,Pinsir,24,Legend Maker
dataset/Flashfire/Flashfire_Walrein_26.jpg,Walrein,26,Flashfire
dataset/Guardians Rising/Guardians Rising_Alolan Vulpix_21.jpg,Alolan Vulpix,21,Guardians Rising
dataset/HS—Unleashed/HS—Unleashed_Ninetales_20.jpg,Ninetales,20,HS—Unleashed
dataset/Call of Legends/Call of Legends_Ampharos_23.jpg,Ampharos,23,Call of Legends
dataset/Gym Heroes/Gym Heroes_Brock's Onix_21.jpg,Brock's Onix,21,Gym Heroes
dataset/Delta Species/Delta Species_Hypno_23.jpg,Hypno,23,Delta Species
dataset/Sun & Moon/Sun & Moon_Arcanine_22.jpg,Arcanine,22,Sun & Moon
dataset/POP Series 2/POP Series 2_Phanpy_15.jpg,Phanpy,15,POP Series 2
dataset/Secret Wonders/Secret Wonders_Electrode_26.jpg,Electrode,26,Secret Wonders
dataset/Legendary Treasures/Legendary Treasures_Tepig_25.jpg,Tepig,25,Legendary Treasures
dataset/Next Destinies/Next Destinies_Starmie_24.jpg,Starmie,24,Next Destinies
dataset/Legends Awakened/Legends Awakened_Probopass_13.jpg,Probopass,13,Legends Awakened
dataset/Fossil/Fossil_Hypno_23.jpg,Hypno,23,Fossil
dataset/Deoxys/Deoxys_Rayquaza_22.jpg,Rayquaza,22,Deoxys
dataset/Dragon Frontiers/Dragon Frontiers_Typhlosion δ_12.jpg,Typhlosion δ,12,Dragon Frontiers
dataset/Rebel Clash/Rebel Clash_Grubbin_16.jpg,Grubbin,16,Rebel Clash
dataset/Dragons Exalted/Dragons Exalted_Gyarados_24.jpg,Gyarados,24,Dragons Exalted
dataset/Champion's Path/Champion's Path_Alcremie VMAX_23.jpg,Alcremie VMAX,23,Champion's Path
dataset/Neo Discovery/Neo Discovery_Ursaring_15.jpg,Ursaring,15,Neo Discovery
dataset/Legendary Collection/Legendary Collection_Butterfree_21.jpg,Butterfree,21,Legendary Collection
dataset/Gym Heroes/Gym Heroes_Brock's Rhyhorn_22.jpg,Brock's Rhyhorn,22,Gym Heroes
dataset/Fossil/Fossil_Kabutops_24.jpg,Kabutops,24,Fossil
dataset/Nintendo Black Star Promos/Nintendo Black Star Promos_Meowth_13.jpg,Meowth,13,Nintendo Black Star Promos
dataset/Shining Legends/Shining Legends_Larvesta_12.jpg,Larvesta,12,Shining Legends
dataset/Base Set 2/Base Set 2_Electabuzz_24.jpg,Electabuzz,24,Base Set 2
dataset/Team Rocket Returns/Team Rocket Returns_Magby_24.jpg,Magby,24,Team Rocket Returns
dataset/Ancient Origins/Ancient Origins_Regice_24.jpg,Regice,24,Ancient Origins
dataset/Sword & Shield/Sword & Shield_Ninetales_23.jpg,Ninetales,23,Sword & Shield
dataset/Neo Revelation/Neo Revelation_Raichu_21.jpg,Raichu,21,Neo Revelation
dataset/Ultra Prism/Ultra Prism_Salandit_25.jpg,Salandit,25,Ultra Prism
dataset/BW Black Star Promos/BW Black Star Promos_Pidove_BW15.jpg,Pidove,BW15,BW Black Star Promos
dataset/Celestial Storm/Celestial Storm_Cacnea_19.jpg,Cacnea,19,Celestial Storm
dataset/Unseen Forces/Unseen Forces_Electabuzz_22.jpg,Electabuzz,22,Unseen Forces
dataset/Shining Legends/Shining Legends_Volcarona_13.jpg,Volcarona,13,Shining Legends
dataset/Vivid Voltage/Vivid Voltage_Dhelmise_19.jpg,Dhelmise,19,Vivid Voltage
dataset/Jungle/Jungle_Wigglytuff_16.jpg,Wigglytuff,16,Jungle
dataset/DP Black Star Promos/DP Black Star Promos_Darkrai_DP24.jpg,Darkrai,DP24,DP Black Star Promos
dataset/Team Magma vs Team Aqua/Team Magma vs Team Aqua_Team Aqua's Cacnea_24.jpg,Team Aqua's Cacnea,24,Team Magma vs Team Aqua
dataset/Noble Victories/Noble Victories_Simisear_17.jpg,Simisear,17,Noble Victories
dataset/Evolutions/Evolutions_Ninetales BREAK_16.jpg,Ninetales BREAK,16,Evolutions
dataset/Hidden Fates/Hidden Fates_Ekans_25.jpg,Ekans,25,Hidden Fates
dataset/Crimson Invasion/Crimson Invasion_Magikarp_17.jpg,Magikarp,17,Crimson Invasion
dataset/Power Keepers/Power Keepers_Lanturn_15.jpg,Lanturn,15,Power Keepers
dataset/Hidden Fates Shiny Vault/Hidden Fates Shiny Vault_Shuppet_SV16.jpg,Shuppet,SV16,Hidden Fates Shiny Vault
dataset/Boundaries Crossed/Boundaries Crossed_Pignite_25.jpg,Pignite,25,Boundaries Crossed
dataset/Legends Awakened/Legends Awakened_Spiritomb_16.jpg,Spiritomb,16,Legends Awakened
dataset/Shining Legends/Shining Legends_Reshiram_14.jpg,Reshiram,14,Shining Legends
dataset/Gym Challenge/Gym Challenge_Koga's Muk_26.jpg,Koga's Muk,26,Gym Challenge
dataset/Forbidden Light/Forbidden Light_Pyroar_19.jpg,Pyroar,19,Forbidden Light
dataset/Generations/Generations_Ponyta_14.jpg,Ponyta,14,Generations
dataset/Dragons Exalted/Dragons Exalted_Wailord_26.jpg,Wailord,26,Dragons Exalted
dataset/Team Rocket Returns/Team Rocket Returns_Misdreavus_25.jpg,Misdreavus,25,Team Rocket Returns
dataset/Double Crisis/Double Crisis_Team Aqua's Poochyena_16.jpg,Team Aqua's Poochyena,16,Double Crisis
dataset/Base/Base_Electrode_21.jpg,Electrode,21,Base
dataset/Flashfire/Flashfire_Avalugg_31.jpg,Avalugg,31,Flashfire
dataset/DP Black Star Promos/DP Black Star Promos_Dialga_DP26.jpg,Dialga,DP26,DP Black Star Promos
dataset/Hidden Fates/Hidden Fates_Arbok_27.jpg,Arbok,27,Hidden Fates
dataset/Skyridge/Skyridge_Moltres_H20.jpg,Moltres,H20,Skyridge
dataset/Fates Collide/Fates Collide_Rotom_24.jpg,Rotom,24,Fates Collide
dataset/Furious Fists/Furious Fists_Poliwhirl_16.jpg,Poliwhirl,16,Furious Fists
dataset/Team Magma vs Team Aqua/Team Magma vs Team Aqua_Team Aqua's Carvanha_25.jpg,Team Aqua's Carvanha,25,Team Magma vs Team Aqua
dataset/Skyridge/Skyridge_Piloswine_H22.jpg,Piloswine,H22,Skyridge
dataset/Holon Phantoms/Holon Phantoms_Mawile_23.jpg,Mawile,23,Holon Phantoms
dataset/Nintendo Black Star Promos/Nintendo Black Star Promos_Latios_15.jpg,Latios,15,Nintendo Black Star Promos
dataset/Mysterious Treasures/Mysterious Treasures_Uxie_18.jpg,Uxie,18,Mysterious Treasures
dataset/Supreme Victors/Supreme Victors_Dewgong_24.jpg,Dewgong,24,Supreme Victors
dataset/Celestial Storm/Celestial Storm_Tropius_21.jpg,Tropius,21,Celestial Storm
dataset/Steam Siege/Steam Siege_Gastrodon_29.jpg,Gastrodon,29,Steam Siege
dataset/Guardians Rising/Guardians Rising_Tentacool_23.jpg,Tentacool,23,Guardians Rising
dataset/Black & White/Black & White_Darumaka_24.jpg,Darumaka,24,Black & White
dataset/Kalos Starter Set/Kalos Starter Set_Bisharp_20.jpg,Bisharp,20,Kalos Starter Set
dataset/Team Rocket Returns/Team Rocket Returns_Quagsire_26.jpg,Quagsire,26,Team Rocket Returns
dataset/BREAKthrough/BREAKthrough_M Houndoom-EX_22.jpg,M Houndoom-EX,22,BREAKthrough
dataset/Crimson Invasion/Crimson Invasion_Gyarados-GX_18.jpg,Gyarados-GX,18,Crimson Invasion
dataset/McDonald's Collection 2012/McDonald's Collection 2012_Dewott_5.jpg,Dewott,5,McDonald's Collection 2012
dataset/SM Black Star Promos/SM Black Star Promos_Solgaleo-GX_SM16.jpg,Solgaleo-GX,SM16,SM Black Star Promos
dataset/Cosmic Eclipse/Cosmic Eclipse_Magcargo_27.jpg,Magcargo,27,Cosmic Eclipse
dataset/Nintendo Black Star Promos/Nintendo Black Star Promos_Treecko_16.jpg,Treecko,16,Nintendo Black Star Promos
dataset/HS—Triumphant/HS—Triumphant_Lunatone_25.jpg,Lunatone,25,HS—Triumphant
dataset/Base Set 2/Base Set 2_Mr. Mime_27.jpg,Mr. Mime,27,Base Set 2
dataset/Majestic Dawn/Majestic Dawn_Empoleon_17.jpg,Empoleon,17,Majestic Dawn
dataset/Arceus/Arceus_Pelipper_24.jpg,Pelipper,24,Arceus
dataset/Aquapolis/Aquapolis_Tyranitar_H28.jpg,Tyranitar,H28,Aquapolis
dataset/Legendary Treasures/Legendary Treasures_Reshiram_28.jpg,Reshiram,28,Legendary Treasures
dataset/Emerging Powers/Emerging Powers_Pansear_18.jpg,Pansear,18,Emerging Powers
dataset/Secret Wonders/Secret Wonders_Jynx_30.jpg,Jynx,30,Secret Wonders
dataset/BW Black Star Promos/BW Black Star Promos_Darumaka_BW18.jpg,Darumaka,BW18,BW Black Star Promos
dataset/HeartGold & SoulSilver/HeartGold & SoulSilver_Meganium_26.jpg,Meganium,26,HeartGold & SoulSilver
dataset/Base Set 2/Base Set 2_Kangaskhan_26.jpg,Kangaskhan,26,Base Set 2
dataset/HS—Undaunted/HS—Undaunted_Rotom_20.jpg,Rotom,20,HS—Undaunted
dataset/Sun & Moon/Sun & Moon_Incineroar_26.jpg,Incineroar,26,Sun & Moon
dataset/Legend Maker/Legend Maker_Spinda_26.jpg,Spinda,26,Legend Maker
dataset/Cosmic Eclipse/Cosmic Eclipse_Slugma_26.jpg,Slugma,26,Cosmic Eclipse
dataset/HS—Undaunted/HS—Undaunted_Tropius_22.jpg,Tropius,22,HS—Undaunted
dataset/Stormfront/Stormfront_Drapion_15.jpg,Drapion,15,Stormfront
dataset/Dragon Majesty/Dragon Majesty_Lapras_21.jpg,Lapras,21,Dragon Majesty
dataset/Base/Base_Arcanine_23.jpg,Arcanine,23,Base
dataset/XY Black Star Promos/XY Black Star Promos_Gogoat_XY16.jpg,Gogoat,XY16,XY Black Star Promos
dataset/Secret Wonders/Secret Wonders_Golduck_28.jpg,Golduck,28,Secret Wonders
dataset/HeartGold & SoulSilver/HeartGold & SoulSilver_Pichu_28.jpg,Pichu,28,HeartGold & SoulSilver
dataset/Furious Fists/Furious Fists_Blaziken_14.jpg,Blaziken,14,Furious Fists
dataset/Dragons Exalted/Dragons Exalted_Feebas_27.jpg,Feebas,27,Dragons Exalted
dataset/Guardians Rising/Guardians Rising_Politoed_25.jpg,Politoed,25,Guardians Rising
dataset/Base/Base_Dewgong_25.jpg,Dewgong,25,Base
dataset/HGSS Black Star Promos/HGSS Black Star Promos_Plusle_HGSS16.jpg,Plusle,HGSS16,HGSS Black Star Promos
dataset/Skyridge/Skyridge_Politoed_H23.jpg,Politoed,H23,Skyridge
dataset/Lost Thunder/Lost Thunder_Wurmple_24.jpg,Wurmple,24,Lost Thunder
dataset/Dragon Frontiers/Dragon Frontiers_Gligar δ_16.jpg,Gligar δ,16,Dragon Frontiers
dataset/Boundaries Crossed/Boundaries Crossed_Emboar_26.jpg,Emboar,26,Boundaries Crossed
dataset/Generations/Generations_Magmar_16.jpg,Magmar,16,Generations
dataset/Steam Siege/Steam Siege_Mantine_27.jpg,Mantine,27,Steam Siege
dataset/Fossil/Fossil_Lapras_25.jpg,Lapras,25,Fossil
dataset/Skyridge/Skyridge_Nidoqueen_H21.jpg,Nidoqueen,H21,Skyridge
dataset/McDonald's Collection 2012/McDonald's Collection 2012_Emolga_6.jpg,Emolga,6,McDonald's Collection 2012
dataset/Dragon Frontiers/Dragon Frontiers_Dewgong δ_15.jpg,Dewgong δ,15,Dragon Frontiers
dataset/Ancient Origins/Ancient Origins_Ampharos-EX_27.jpg,Ampharos-EX,27,Ancient Origins
dataset/Champion's Path/Champion's Path_Machoke_25.jpg,Machoke,25,Champion's Path
dataset/BW Black Star Promos/BW Black Star Promos_Axew_BW16.jpg,Axew,BW16,BW Black Star Promos
dataset/Cosmic Eclipse/Cosmic Eclipse_Entei_28.jpg,Entei,28,Cosmic Eclipse
dataset/Team Up/Team Up_Blastoise_25.jpg,Blastoise,25,Team Up
dataset/Legendary Collection/Legendary Collection_Golem_24.jpg,Golem,24,Legendary Collection
dataset/Neo Destiny/Neo Destiny_Unown [G]_27.jpg,Unown [G],27,Neo Destiny
dataset/Legends Awakened/Legends Awakened_Armaldo_18.jpg,Armaldo,18,Legends Awakened
dataset/Phantom Forces/Phantom Forces_M Manectric-EX_24a.jpg,M Manectric-EX,24a,Phantom Forces
dataset/Champion's Path/Champion's Path_Lucario V_27.jpg,Lucario V,27,Champion's Path
dataset/Ruby & Sapphire/Ruby & Sapphire_Nosepass_18.jpg,Nosepass,18,Ruby & Sapphire
dataset/Fossil/Fossil_Magneton_26.jpg,Magneton,26,Fossil
dataset/Cosmic Eclipse/Cosmic Eclipse_Flareon_25.jpg,Flareon,25,Cosmic Eclipse
dataset/Gym Heroes/Gym Heroes_Erika's Clefairy_25.jpg,Erika's Clefairy,25,Gym Heroes
dataset/Darkness Ablaze/Darkness Ablaze_Charizard VMAX_20.jpg,Charizard VMAX,20,Darkness Ablaze
dataset/Dragon/Dragon_Combusken_25.jpg,Combusken,25,Dragon
dataset/Plasma Blast/Plasma Blast_Tynamo_31.jpg,Tynamo,31,Plasma Blast
dataset/HGSS Black Star Promos/HGSS Black Star Promos_Lapras_HGSS14.jpg,Lapras,HGSS14,HGSS Black Star Promos
dataset/Ultra Prism/Ultra Prism_Alolan Sandshrew_28.jpg,Alolan Sandshrew,28,Ultra Prism
dataset/Ancient Origins/Ancient Origins_M Ampharos-EX_28.jpg,M Ampharos-EX,28,Ancient Origins
dataset/Skyridge/Skyridge_Poliwrath_H24.jpg,Poliwrath,H24,Skyridge
dataset/XY/XY_Fletchinder_27.jpg,Fletchinder,27,XY
dataset/FireRed & LeafGreen/FireRed & LeafGreen_Dugtrio_22.jpg,Dugtrio,22,FireRed & LeafGreen
dataset/Burning Shadows/Burning Shadows_Pansear_22.jpg,Pansear,22,Burning Shadows
dataset/Dark Explorers/Dark Explorers_Larvesta_20.jpg,Larvesta,20,Dark Explorers
dataset/Crimson Invasion/Crimson Invasion_Piloswine_20.jpg,Piloswine,20,Crimson Invasion
dataset/HS—Unleashed/HS—Unleashed_Primeape_22.jpg,Primeape,22,HS—Unleashed
dataset/Platinum/Platinum_Giratina_27.jpg,Giratina,27,Platinum
dataset/Furious Fists/Furious Fists_Poliwrath_17.jpg,Poliwrath,17,Furious Fists
dataset/Delta Species/Delta Species_Sandslash δ_27.jpg,Sandslash δ,27,Delta Species
dataset/Ancient Origins/Ancient Origins_Kyurem-EX_25.jpg,Kyurem-EX,25,Ancient Origins
dataset/Holon Phantoms/Holon Phantoms_Latios δ_22.jpg,Latios δ,22,Holon Phantoms
dataset/Phantom Forces/Phantom Forces_Manectric-EX_23.jpg,Manectric-EX,23,Phantom Forces
dataset/Supreme Victors/Supreme Victors_Claydol_22.jpg,Claydol,22,Supreme Victors
dataset/Rising Rivals/Rising Rivals_Gastrodon East Sea_21.jpg,Gastrodon East Sea,21,Rising Rivals
dataset/Gym Heroes/Gym Heroes_Brock's Zubat_24.jpg,Brock's Zubat,24,Gym Heroes
dataset/Great Encounters/Great Encounters_Kingler_20.jpg,Kingler,20,Great Encounters
dataset/Black & White/Black & White_Simisear_22.jpg,Simisear,22,Black & White
dataset/Noble Victories/Noble Victories_Heatmor_18.jpg,Heatmor,18,Noble Victories
dataset/Deoxys/Deoxys_Seaking_24.jpg,Seaking,24,Deoxys
dataset/Plasma Storm/Plasma Storm_Heatmor_23.jpg,Heatmor,23,Plasma Storm
dataset/FireRed & LeafGreen/FireRed & LeafGreen_Chansey_19.jpg,Chansey,19,FireRed & LeafGreen
dataset/Crystal Guardians/Crystal Guardians_Igglybuff_21.jpg,Igglybuff,21,Crystal Guardians
dataset/Majestic Dawn/Majestic Dawn_Bronzong_16.jpg,Bronzong,16,Majestic Dawn
dataset/Plasma Blast/Plasma Blast_Ducklett_29.jpg,Ducklett,29,Plasma Blast
dataset/Supreme Victors/Supreme Victors_Crawdaunt G_23.jpg,Crawdaunt G,23,Supreme Victors
dataset/Neo Genesis/Neo Genesis_Typhlosion_18.jpg,Typhlosion,18,Neo Genesis
dataset/HS—Undaunted/HS—Undaunted_Skarmory_21.jpg,Skarmory,21,HS—Undaunted
